geno	Omi32_a_2_1	Omi32_a_2_2	Omi32_a_2_3	Omi32_a_2_4	Omi32_a_3_1	Omi32_a_3_2	Omi32_a_3_3	Omi32_a_3_4	Omi32_a_4_1	Omi32_a_4_2	Omi32_a_4_3	Omi32_a_4_4	Omi32_a_5_1	Omi32_a_5_2	Omi32_a_5_3	Omi32_a_5_4	Omi32_a_6_1	Omi32_a_6_2	Omi32_a_6_3	Omi32_a_6_4	Omi32_a_7_1	Omi32_a_7_2	Omi32_a_7_3	Omi32_a_7_4	Omi32_a_8_1	Omi32_a_8_2	Omi32_a_8_3	Omi32_a_8_4	Omi32_a_F_1	Omi32_a_F_2	Omi32_a_F_3	Omi32_a_F_4	Omi32_a_F_5	Omi32_a_F_6	Omi32_a_10_1	Omi32_b_2_1	Omi32_b_2_2	Omi32_b_2_3	Omi32_b_2_4	Omi32_b_3_1	Omi32_b_3_2	Omi32_b_3_3	Omi32_b_3_4	Omi32_b_4_1	Omi32_b_4_2	Omi32_b_4_3	Omi32_b_4_4	Omi32_b_5_1	Omi32_b_5_2	Omi32_b_5_3	Omi32_b_5_4	Omi32_b_6_1	Omi32_b_6_2	Omi32_b_6_3	Omi32_b_6_4	Omi32_b_7_1	Omi32_b_7_2	Omi32_b_7_3	Omi32_b_7_4	Omi32_b_8_1	Omi32_b_8_2	Omi32_b_8_3	Omi32_b_8_4	Omi32_b_F_1	Omi32_b_F_2	Omi32_b_F_3	Omi32_b_F_4	Omi32_b_F_5	Omi32_b_F_6	Omi32_b_10_1
0000000001010	0	0	0	0	1	26	0	0	0	0	0	0	11	0	29	59	219	106	0	0	38	0	0	0	84	0	0	0	0	0	0	290	166	23	0	0	0	108	0	0	63	0	1	0	0	0	1	0	150	0	1	1	0	0	0	227	0	0	0	1	0	0	0	0	0	0	118	51	1	2
0000000001011	0	1268	277	33	1	584	399	7	0	235	334	4	94	530	199	2	806	38	78	0	1222	61	0	0	1786	0	0	0	47	3	14	402	1473	122	0	0	1373	1463	1	2	1436	852	90	0	641	841	77	598	124	93	35	765	28	0	0	1464	154	0	0	2135	39	0	0	1	6	113	590	580	482	61
0000000001100	1	577	402	1	1	687	371	22	0	145	177	62	58	148	220	87	439	373	281	0	963	40	0	0	1103	0	0	0	2	0	1	584	846	82	0	0	367	1010	179	0	687	328	2	0	1265	161	1	112	358	343	1	836	5	0	0	585	106	0	0	1124	3	0	0	1	62	247	485	312	406	76
0000000001101	0	746	569	2	1	421	523	26	2	339	545	1	138	539	203	8	479	76	23	0	1242	36	0	0	1973	0	0	0	3	4	22	773	1494	152	0	1	862	1228	28	0	1775	1049	107	0	1118	504	2	141	290	189	0	700	184	0	0	2724	92	0	0	2415	1	0	0	1	0	337	652	472	445	123
0000000001110	5	823	3886	338	2	1133	1874	96	2	710	1105	78	152	1646	643	290	2300	164	146	0	3304	102	0	0	4182	3	0	0	54	43	262	2743	3740	301	0	6	1246	6339	359	6	1954	2652	313	0	4094	1947	199	704	1548	952	5	3161	152	6	0	4803	370	0	0	5792	169	0	0	111	1	722	2287	1794	1237	1443
0000000001111	0	339	1304	116	0	106	720	21	3	102	631	46	24	303	374	120	606	11	1	0	757	5	0	0	1670	36	0	0	0	4	16	484	1139	139	0	1	92	2306	200	0	598	1640	7	1	1519	1021	88	125	692	251	46	1815	0	0	0	1744	87	0	0	2573	143	0	0	138	0	150	394	378	403	421
0000000010000	0	2485	329	74	3	1765	809	2	0	581	924	117	129	1136	356	41	1377	563	258	0	1567	59	0	0	1795	1	0	0	0	13	61	1297	2610	216	0	5	2644	1818	5	1	3294	1380	130	0	3838	1039	77	332	1135	807	171	2778	341	193	0	3783	347	0	0	3509	1	0	0	3	112	203	735	1071	717	711
0000000010001	0	861	127	19	1	248	122	1	0	158	223	72	82	482	104	59	153	132	19	0	535	10	0	0	825	0	0	0	7	7	2	329	871	110	0	0	1095	470	311	1	1184	798	65	0	251	221	2	330	652	102	33	773	204	182	0	1171	96	0	0	610	14	0	0	74	5	584	373	292	294	251
0000000010010	0	597	166	22	20	504	424	7	13	422	150	2	57	305	68	2	562	239	0	0	564	21	0	0	573	0	0	0	5	60	14	141	1285	150	0	0	1138	519	0	2	356	658	3	0	422	384	1	237	541	94	1	564	4	1	0	1844	0	0	0	1287	1	0	0	159	18	188	455	533	584	3
0000000010011	0	1942	486	55	2	1242	870	89	2	304	296	9	132	465	142	138	1341	662	166	0	1703	0	0	0	2405	38	0	0	0	57	25	827	1894	223	0	2	1535	1145	210	2	2877	665	174	2	3061	588	240	319	1122	27	8	2542	146	32	0	2621	100	0	0	3440	157	0	0	2	170	70	969	1194	563	326
0000000010100	1	3199	3241	77	4	2082	2188	97	2	1029	798	58	165	1696	624	182	1942	206	297	0	2980	61	0	0	5317	26	0	0	7	101	45	2481	4666	460	0	3	3625	2848	36	0	3853	2578	140	0	5885	1467	318	481	1246	820	5	3896	314	9	0	5662	156	0	0	8119	77	0	0	34	63	474	2926	1720	1013	502
0000000010101	0	765	370	67	0	329	301	4	0	88	70	27	6	329	28	1	693	60	21	0	554	0	0	0	1147	0	0	0	0	2	13	356	785	102	0	0	431	406	10	0	945	639	1	0	562	211	193	87	340	117	1	1029	8	64	0	1593	185	0	0	1395	68	0	0	4	25	2	803	397	272	250
0000000010110	0	449	1258	113	0	264	750	71	0	214	735	73	20	671	68	10	833	156	122	0	1188	31	0	0	1838	26	0	0	0	44	43	611	1302	196	0	1	667	1660	27	5	1029	1552	17	1	1405	558	4	272	343	349	19	1163	83	90	0	1264	2	0	0	2075	62	0	0	1	6	326	544	591	1079	302
0000000010111	0	188	1065	75	0	382	433	3	0	328	138	23	2	76	177	175	308	62	0	0	744	9	0	0	761	0	0	0	6	0	1	286	565	60	0	2	12	749	100	0	255	518	13	0	4	280	88	329	313	341	6	615	51	0	0	665	55	0	0	1482	0	0	0	0	1	213	393	140	108	121
0000000011000	1	1014	10	4	1	280	244	3	0	211	347	46	45	370	63	1	331	273	27	0	797	65	0	0	572	0	0	0	0	1	4	366	412	62	0	0	1210	611	0	1	587	362	95	3	1294	321	1	309	335	35	48	545	118	0	0	1063	0	0	0	943	2	0	0	0	102	212	333	186	218	187
0000000011001	107	1247	187	32	0	1024	241	3	1	194	647	1	86	795	103	10	891	119	25	0	1044	55	0	0	1731	46	0	0	6	4	124	580	2505	93	0	2	1695	607	58	1	1905	598	12	0	2312	495	4	176	348	312	175	711	0	38	0	1944	52	0	0	2005	26	0	0	2	90	278	512	281	683	137
0000000011010	0	1776	654	58	2	759	439	41	25	272	373	160	75	990	408	3	1187	441	63	0	1063	50	0	0	1977	13	0	0	8	12	54	526	1343	192	0	2	1994	759	84	2	1798	1230	50	0	1725	789	2	685	705	435	87	2666	100	1	0	1546	2	0	0	2176	64	0	0	53	6	333	316	422	810	65
0000000011011	0	1436	659	93	1	1152	772	3	0	273	628	14	64	340	198	248	341	761	5	0	1101	68	0	0	1806	28	0	0	2	14	172	382	1833	240	1	0	1733	854	49	0	2233	940	84	0	2435	494	5	434	805	378	157	1238	208	15	0	840	386	0	0	2651	38	0	0	0	1	209	683	635	550	185
0000000011100	0	87	396	0	0	92	280	11	77	96	33	1	2	126	16	0	39	0	1	0	36	0	0	0	468	0	0	0	0	51	0	196	661	86	0	0	390	229	1	0	445	225	4	0	561	100	0	0	401	185	0	61	0	0	0	6	0	0	0	682	0	0	0	1	0	0	105	104	94	81
0000000011101	0	493	393	38	0	486	344	1	0	181	265	0	96	42	43	3	236	100	9	0	598	1	0	0	492	0	0	0	4	18	16	566	897	55	0	0	451	344	3	0	703	611	0	0	1310	748	1	97	496	1	0	1004	5	1	0	945	4	0	0	1140	102	0	0	0	2	172	572	156	42	152
0000000011110	0	1140	1839	28	2	1093	1204	76	0	847	869	8	108	1205	193	56	1301	102	292	0	2378	63	0	0	2786	0	0	0	0	33	29	1512	2576	267	0	1	1476	2891	100	4	2255	2755	24	0	4657	1884	325	11	1292	536	91	1606	86	4	0	3781	59	0	0	4186	69	0	0	144	2	338	1082	1618	673	697
0000000011111	1	292	661	51	0	504	797	43	8	87	146	2	80	325	144	6	212	137	234	0	334	47	0	0	1245	20	0	0	1	50	5	595	1637	57	0	0	755	894	3	0	1058	724	8	1	1549	969	100	12	143	227	5	778	88	2	0	922	4	0	0	1334	85	0	0	1	0	204	373	423	505	307
0000000100000	0	1011	194	20	0	720	369	0	0	227	195	0	36	633	180	2	548	209	1	0	314	5	0	0	512	15	0	0	5	3	43	252	1289	85	0	1	858	278	1	0	1107	555	6	0	620	292	87	123	197	2	0	1451	0	7	0	571	62	0	0	1147	0	0	0	1	152	82	175	497	377	147
0000000100001	1	2685	639	32	2	1431	373	15	1	516	779	21	95	568	47	52	888	334	146	0	1825	22	0	0	2238	0	0	0	2	17	18	1117	3269	257	0	7	1531	684	7	1	3024	1565	92	0	2328	574	3	460	808	438	133	2787	263	76	0	3401	148	0	0	3362	25	0	0	139	3	253	1038	1545	946	478
0000000100010	1	586	212	5	0	322	97	6	0	126	355	56	6	215	95	0	139	167	1	0	708	0	0	0	576	0	0	0	0	5	1	735	562	35	0	0	540	283	3	0	363	0	2	0	842	275	0	4	133	69	2	391	28	158	0	648	159	0	0	1086	0	0	0	3	31	5	115	79	138	121
0000000100011	0	316	77	5	0	123	118	0	0	22	91	59	38	0	25	1	157	35	0	0	155	21	0	0	514	0	0	0	0	2	0	262	530	1	0	1	249	178	2	0	56	177	0	0	0	481	0	0	0	1	0	1371	0	0	0	155	2	0	0	551	56	0	0	0	0	53	26	210	160	127
0000000100100	0	497	509	25	0	227	419	12	2	132	75	5	59	106	70	2	309	0	0	0	272	0	0	0	342	0	0	0	0	1	4	263	460	44	0	1	678	806	6	0	930	517	51	0	605	239	1	145	313	93	17	220	25	0	0	502	1	0	0	1034	134	0	0	1	0	279	258	287	167	21
0000000100101	0	201	257	5	0	194	348	21	0	5	242	2	36	200	68	46	301	24	59	0	189	0	0	0	216	0	0	0	5	4	3	0	345	15	0	0	686	66	4	3	410	125	1	0	364	164	1	4	0	1	5	1023	133	0	0	510	0	0	0	892	0	0	0	60	2	5	123	194	19	45
0000000100110	0	549	3399	97	0	596	1315	32	0	529	1563	46	152	1549	402	7	948	932	243	0	2626	20	0	0	3233	1	0	0	9	20	4	1252	2682	229	0	4	822	3543	217	2	1919	2715	165	0	3277	1218	259	386	1526	1056	94	3602	139	2	0	3841	209	0	0	4276	88	0	0	195	4	303	1115	1361	681	897
0000000100111	1	265	1569	141	1	334	584	16	0	296	262	163	76	723	132	194	500	456	43	0	851	6	0	0	1611	0	0	0	8	8	59	404	1268	170	0	4	609	2109	2	0	868	597	6	0	1586	1353	61	155	1032	231	79	467	51	35	0	1692	278	0	0	2701	4	0	0	115	52	88	1002	417	434	128
0000000101000	0	737	36	7	0	534	202	28	0	0	67	60	39	520	208	3	503	191	14	0	414	40	0	0	731	1	0	0	9	4	1	422	1003	72	0	1	875	245	0	46	1231	206	2	0	1445	449	1	0	186	114	0	434	114	5	0	1167	0	0	0	1053	84	0	0	196	0	153	402	155	205	68
0000000101001	0	508	7	3	0	468	146	1	0	118	30	0	39	128	55	0	78	48	11	0	399	75	0	0	717	0	0	0	0	4	0	1	417	68	0	0	966	101	96	0	452	285	4	0	660	367	61	79	243	177	0	524	1	4	0	1228	1	0	0	657	0	0	0	2	0	6	338	138	202	52
0000000101010	0	785	197	8	0	398	211	29	0	76	108	0	90	341	128	0	312	74	74	0	593	40	0	0	705	1	0	0	0	5	51	225	890	100	0	1	736	513	3	0	926	576	154	0	762	551	2	63	539	135	3	404	100	0	0	456	1	0	0	1605	0	0	0	3	2	233	308	543	352	32
0000000101011	0	264	31	31	0	99	57	73	0	131	60	0	0	203	65	0	205	0	230	0	75	49	0	0	316	0	0	0	0	3	1	15	198	36	0	0	589	193	1	0	440	89	3	1	759	259	2	127	5	0	0	255	7	0	0	414	0	0	0	378	4	0	0	0	0	2	85	158	37	0
0000000101100	0	809	250	23	2	765	576	18	1	399	258	0	12	407	160	183	295	74	11	0	970	8	0	0	945	1	0	0	0	2	27	387	1242	159	0	0	1058	518	4	0	649	1055	3	0	1191	233	5	677	373	166	0	1554	3	0	0	1008	197	0	0	1603	56	0	0	0	1	78	566	522	613	32
0000000101101	0	1498	505	65	1	827	472	3	0	191	596	15	52	572	132	21	1281	92	37	0	1411	41	0	0	1859	0	0	0	0	29	28	189	1281	218	0	5	1237	938	107	0	1419	1666	30	0	2276	948	2	74	704	268	40	2411	240	1	0	2951	6	0	0	2541	2	0	0	1	71	182	633	975	233	299
0000000101110	0	764	1588	78	1	669	753	68	2	303	387	22	81	969	223	161	1170	12	217	0	1565	22	0	0	2250	0	0	0	42	9	38	863	2095	213	0	0	915	3068	499	0	1505	2305	162	0	2555	2197	5	108	800	359	255	2163	362	76	0	2091	285	0	0	2412	67	0	0	50	53	517	921	971	957	465
0000000101111	0	40	310	3	0	148	354	2	7	1	155	6	12	134	60	51	77	0	62	0	210	0	0	0	288	0	0	0	3	1	0	255	131	19	0	0	28	174	4	0	110	270	2	0	262	191	0	51	182	162	35	508	0	0	0	220	0	0	0	431	0	0	0	0	3	0	70	183	119	149
0000000110000	0	898	521	66	0	570	813	48	0	164	67	68	30	380	198	67	201	270	133	0	846	71	0	0	1138	0	0	0	0	7	8	252	552	152	0	0	1299	379	5	1	1168	416	118	0	2358	634	2	1	568	415	158	918	115	1	0	1781	238	0	0	1624	0	0	0	1	4	88	340	210	318	196
0000000110001	0	2257	271	82	0	697	165	67	0	317	706	107	80	723	145	79	564	388	72	0	853	44	0	0	2105	1	0	0	2	3	41	129	1393	293	0	5	1543	389	9	1	2031	1472	173	0	2411	1225	226	116	673	296	2	2283	114	6	0	1775	17	0	0	2543	57	0	0	0	4	75	679	700	1052	342
0000000110010	0	898	218	15	0	692	436	2	1	96	264	21	1	559	65	2	322	88	9	0	579	0	0	0	583	30	0	0	0	9	5	156	924	254	0	0	719	560	166	0	749	827	140	0	929	272	15	379	451	370	5	1348	0	61	0	601	172	0	0	584	75	0	0	106	0	38	343	106	349	32
0000000110011	0	169	0	0	0	70	77	0	0	74	77	0	0	30	59	0	10	150	0	0	205	0	0	0	174	0	0	0	0	2	1	0	185	48	0	0	229	19	0	0	0	21	32	0	1058	0	0	1	59	111	0	102	0	0	0	702	4	0	0	218	0	0	0	0	1	21	23	92	4	24
0000000110100	0	405	242	14	0	186	54	3	0	66	121	0	8	175	64	1	160	2	0	0	173	0	0	0	409	0	0	0	2	2	0	66	241	25	0	0	98	247	183	0	243	473	66	0	342	112	1	0	122	175	0	543	61	0	0	181	0	0	0	640	85	0	0	0	1	85	92	77	99	168
0000000110101	0	256	154	0	0	115	138	0	6	1	132	0	16	327	51	1	122	122	0	0	86	21	0	0	183	1	0	0	0	2	0	276	227	88	0	0	515	141	1	1	472	370	3	0	348	251	0	0	0	102	3	455	132	6	0	712	37	0	0	414	2	0	0	0	0	2	72	216	137	42
0000000110110	0	56	325	0	1	137	288	14	0	72	36	0	35	435	78	12	368	1	1	0	222	0	0	0	798	0	0	0	0	4	2	144	431	48	0	0	129	347	2	0	295	620	1	0	788	281	2	133	125	57	1	738	1	0	0	557	7	0	0	1004	0	0	0	0	0	1	229	61	314	46
0000000110111	1	379	1078	25	0	308	247	0	0	135	12	2	0	200	43	0	437	2	25	0	293	0	0	0	724	1	0	0	0	0	2	156	410	94	0	3	311	768	0	0	484	271	1	0	439	158	0	17	238	7	10	163	0	0	0	663	48	0	0	744	54	0	0	170	0	172	247	259	316	20
0000000111000	0	1110	317	11	3	1069	508	31	10	203	372	139	170	852	360	2	722	479	152	0	1208	31	0	0	1418	19	0	0	0	47	24	439	1078	217	0	3	1590	387	7	89	1632	871	37	0	2206	880	9	6	523	3	8	2593	88	2	0	1596	113	0	0	1711	175	0	0	4	84	170	604	384	492	678
0000000111001	0	808	376	7	2	576	518	60	1	138	358	32	28	521	87	0	98	125	36	0	977	40	0	0	1271	1	0	0	1	4	57	455	895	140	0	0	469	526	6	0	1306	530	10	0	1227	721	2	320	643	100	5	873	195	0	0	2104	185	0	0	1433	13	0	0	4	0	0	205	186	311	99
0000000111010	1	656	184	0	0	649	424	1	0	233	115	59	1	349	52	131	163	81	15	0	640	41	0	0	601	32	0	0	7	6	5	58	445	107	0	1	719	400	105	1	846	295	5	0	447	618	2	0	640	465	0	211	166	0	0	1228	0	0	0	1568	3	0	0	1	0	116	244	262	208	18
0000000111011	0	1464	495	1	3	419	568	3	0	376	409	1	42	754	369	32	625	450	177	0	1199	103	0	0	2077	19	0	0	8	46	5	167	2260	175	0	1	2031	520	96	2	2095	239	20	0	1608	937	26	534	1029	419	2	1673	184	1	0	1491	7	0	0	1927	50	0	0	47	1	5	381	764	928	456
0000000111100	0	1501	276	61	0	727	685	73	2	246	553	10	91	760	207	4	709	165	78	0	927	67	0	0	2045	0	0	0	3	30	15	514	1358	128	0	0	614	576	7	0	2025	1155	53	2	2001	1080	5	257	728	1242	53	2452	90	135	0	2472	1	0	0	2277	0	0	0	1	15	257	492	474	354	276
0000000111101	0	806	74	0	0	305	140	4	0	59	93	0	27	235	54	5	101	155	0	0	664	49	0	0	614	0	0	0	0	2	0	135	681	29	0	1	528	309	0	0	411	220	85	0	852	431	0	26	1	84	8	796	48	0	0	1278	1	0	0	978	1	0	0	0	65	373	163	291	185	34
0000000111110	0	201	178	0	0	139	95	0	0	94	11	1	3	165	1	2	99	0	143	0	201	5	0	0	440	0	0	0	0	2	0	223	369	36	0	0	202	243	58	0	272	196	174	0	363	76	1	137	401	0	0	642	5	2	0	5	0	0	0	161	58	0	0	0	0	0	99	124	120	1
0000000111111	0	417	266	67	0	447	592	0	0	290	334	179	50	209	74	13	416	347	189	0	442	26	0	0	999	0	0	0	34	2	6	190	569	93	0	0	725	787	107	0	912	984	6	0	783	506	5	214	265	198	7	303	0	0	0	433	1	0	0	1449	2	0	0	0	2	64	285	270	411	6
0000001000000	0	3768	1816	148	3	2637	1781	19	1	357	1839	160	287	2445	371	212	2092	929	215	0	4013	120	0	0	5691	49	0	0	55	54	134	1354	2807	618	0	2	3618	2717	186	2	4491	3000	201	0	3748	1965	122	622	2472	1631	18	5035	286	19	0	7604	202	0	0	6867	228	0	0	109	129	131	1146	1302	2048	1331
0000001000001	0	325	59	1	0	176	36	1	0	15	0	0	5	102	25	0	63	33	0	0	280	1	0	0	96	0	0	0	0	41	62	115	498	54	0	0	613	490	0	0	434	179	0	0	298	118	0	137	49	128	0	318	151	2	0	554	77	0	0	742	0	0	0	5	0	0	93	200	192	231
0000001000010	0	405	309	2	0	375	983	51	24	136	85	1	0	348	147	174	259	65	94	0	805	0	0	0	812	1	0	0	1	1	31	90	320	111	0	0	320	775	6	4	753	506	4	0	1349	407	6	12	528	4	1	2756	0	3	0	213	1	0	0	1409	1	0	0	1	0	102	267	149	592	96
0000001000011	0	346	767	5	0	119	646	0	3	121	300	3	87	654	120	12	330	214	56	0	677	8	0	0	1002	0	0	0	3	4	12	286	613	191	0	0	690	1189	3	0	1038	1438	66	0	2134	743	2	2	541	248	2	1345	41	0	0	1482	231	0	0	1811	43	0	0	3	0	224	243	255	374	149
0000001000100	1	150	658	166	0	264	1034	2	0	181	273	4	32	384	43	38	804	139	107	0	1491	35	0	0	1381	0	0	0	23	30	2	212	1307	52	0	0	261	1521	194	0	938	810	2	0	1629	717	50	144	611	147	0	846	47	62	0	3465	258	0	0	1506	97	0	0	1	5	179	383	404	494	52
0000001000101	0	81	1108	67	2	386	506	14	0	220	632	67	23	260	16	51	306	122	160	0	1441	13	0	0	1121	1	0	0	3	3	1	697	1152	170	0	2	104	2480	184	0	586	1478	22	0	1080	752	1	194	522	5	1	1192	78	0	0	1193	405	0	0	1650	37	0	0	3	5	105	412	506	532	206
0000001000110	1	50	554	142	2	6	714	93	0	141	436	6	18	276	151	52	706	130	1	0	932	19	0	0	1150	0	0	0	3	31	15	432	1158	73	0	0	5	1846	102	1	232	1316	8	1	160	1253	2	99	565	386	0	766	62	0	0	1252	3	0	0	1148	7	0	0	64	1	52	360	540	427	37
0000001000111	0	80	817	129	0	150	1020	8	4	115	585	88	4	494	244	0	468	291	38	0	624	0	0	0	1291	1	0	0	21	5	67	502	799	131	0	2	149	1431	392	0	445	1728	95	0	569	767	127	230	351	139	106	453	85	2	0	144	1	0	0	712	118	0	0	0	4	5	292	740	411	94
0000001001000	0	1228	210	7	1	691	367	3	1	1	231	6	16	395	149	35	220	236	190	0	693	0	0	0	955	0	0	0	0	4	56	300	1319	152	0	2	750	715	2	75	1479	570	34	0	765	465	8	272	275	274	1	1176	93	21	0	710	229	0	0	1813	43	0	0	1	78	91	497	454	373	36
0000001001001	0	367	158	6	0	198	372	0	0	197	55	88	22	69	107	1	389	4	13	0	794	19	0	0	725	0	0	0	0	1	45	112	469	66	0	0	774	164	3	1	794	440	57	0	1404	516	3	1	102	606	3	583	98	0	0	915	5	0	0	1473	72	0	0	2	0	252	4	104	228	4
0000001001010	0	164	214	56	1	14	147	2	0	94	129	0	0	276	83	0	64	84	115	0	499	0	0	0	150	0	0	0	0	1	0	56	622	104	0	0	258	72	1	0	121	12	58	0	75	119	0	1	60	0	5	596	0	0	0	392	1	0	0	271	0	0	0	0	0	0	20	189	164	23
0000001001011	0	631	443	33	1	172	605	4	0	77	270	41	4	111	19	3	534	246	28	0	613	10	0	0	625	0	0	0	0	39	2	153	764	116	0	4	751	576	163	0	557	821	45	0	1199	640	140	131	723	84	1	752	69	10	0	876	32	0	0	1311	60	0	0	0	1	81	124	136	496	269
0000001001100	0	102	403	16	0	42	372	8	5	45	146	36	3	305	21	0	89	19	0	0	98	1	0	0	755	0	0	0	26	2	0	307	721	142	0	1	40	894	8	0	208	142	9	0	1182	493	4	169	379	246	0	417	84	0	0	3	43	0	0	788	2	0	0	1	27	179	117	121	99	0
0000001001101	0	143	691	1	0	237	455	35	0	85	394	21	56	613	283	2	534	417	2	0	631	11	0	0	1278	30	0	0	26	10	0	606	1506	97	0	0	524	1735	1	3	695	1194	20	1	1676	1246	340	338	595	653	173	1245	45	0	0	1782	142	0	0	2010	0	0	0	0	3	3	428	373	268	32
0000001001110	0	78	1664	423	1	136	1510	99	1	86	910	88	31	726	549	25	507	205	275	0	964	23	0	0	1809	50	0	0	0	4	72	559	1796	120	0	0	201	2471	597	1	299	2169	8	0	707	1434	108	164	1034	243	119	1547	121	3	0	2216	277	0	0	1617	87	0	0	2	0	148	503	449	616	734
0000001001111	0	4	742	179	2	42	498	71	0	0	267	2	37	245	241	7	696	140	11	0	661	2	0	0	1625	2	0	0	0	0	0	111	759	104	0	0	1	1533	382	1	76	1136	116	0	0	762	4	1	432	118	0	317	30	71	0	525	4	0	0	922	0	0	0	4	60	79	448	237	288	25
0000001010000	0	0	35	2	0	0	27	0	0	41	43	0	0	83	0	3	1	0	0	0	255	0	0	0	158	0	0	0	0	0	0	21	63	0	0	0	322	0	0	0	101	177	38	0	249	0	0	5	0	0	0	1	0	0	0	70	0	0	0	165	0	0	0	0	0	0	43	0	148	0
