"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","586_15 YG D-A","530_30 Blue C-A","Time"
115615,82210,92166,69879.6,61438,74540.7,522.83,51279.1,0.268
126156,94679,87323.8,57044.9,49311,75814.6,770,33302.9,0.269
116579,88553,86277.5,64474.6,55284,76430.9,646.03,52526.2,0.269
97963.5,69448,92445.2,90455,79349,74708.7,642.18,39893,0.269
77911,53092,96172.3,66264.5,55624,78072.6,577.5,63240.5,0.269
101793,77537,86037.4,41238,37437,72189.9,254.87,23241.6,0.269
130695,92191,92907.4,78475.7,68562,75012.1,762.3,47389,0.27
147661,114190,84746,62609,54967,74647.5,616,60605.3,0.271
102743,72976,92268.2,47855.5,42088,74516.7,398.86,56322.7,0.272
86157.4,61660,91573.4,51421,44040,76519.6,498.19,42633.4,0.272
59098.9,49341,78496.7,52418.9,47904,71712.7,4847.92,12780,0.273
98154.9,73681,87304.4,71244.7,57965,80550.2,477.4,23452.6,0.273
101158,77160,85918.5,33302.2,29461,74080.7,394.24,37916.6,0.274
59966.1,42423,92636.9,41195.5,36123,74738.8,500.5,36974.9,0.274
65982.1,57709,74931.1,47866.3,43337,72385.4,2654.19,16346.9,0.274
89591.7,60476,97087.8,57286.8,49873,75278.2,445.83,17925.8,0.274
71693.4,50276,93454.2,38808.7,34360,74021.2,111.65,20072.2,0.274
91566.7,67339,89115,51428.9,46363,72696.8,302.61,11152.1,0.275
84144.6,58170,94799.8,49151.5,42727,75390.1,338.03,32334.5,0.275
94756.5,71925,86339.4,58096.1,52933,71928.4,376.53,27002.2,0.276
84931.2,62860,88546.8,37617.8,32001,77038.9,448.91,16537,0.276
114383,79204,94644.6,68611,61076,73621.2,392.7,65441.5,0.276
97560.3,67221,95114.8,59809,51729,75772.6,946.33,32495.8,0.276
85401,55973,99991.7,64080.7,53065,79140.6,395.78,49583.5,0.276
66996.5,48432,90656.6,61784.6,53288,75985.6,238.7,16818.5,0.277
63961.6,43045,97381.5,42456.2,37421,74354.3,662.97,31953.6,0.277
88870.4,66280,87872.8,54568.1,49980,71552.1,309.54,22943.5,0.278
76007.7,53013,93962.6,53753.8,45801,76915.5,667.59,45851,0.278
100132,73928,88765.3,97262.6,88049,72393.8,806.96,49400.6,0.278
127256,89199,93497.4,75355.2,63666,77568.5,476.63,37257.1,0.279
102504,80969,82966.6,29787.8,27245,71652.6,0.77,19082.2,0.28
77558.4,61271,82957.1,35374.3,32815,70647.3,364.98,14926.3,0.28
72887.7,52533,90928.9,53170.6,46697,74621.2,269.5,32642.6,0.281
77809.3,55141,92477.6,86987.5,71497,79735,650.65,43998.5,0.281
62052.5,45774,88842.4,44841.6,40675,72249.3,286.44,32737.7,0.281
89865,63961,92077.8,61083.4,53764,74458,703.78,18597.6,0.281
79155.2,53070,97748.5,77384.2,65251,77722.2,617.54,24468.5,0.281
88672,55560,104593,64575.4,54961,77000.3,983.29,49691.5,0.282
74771.2,53298,91939.8,61436.9,53262,75594.8,431.97,35923.7,0.282
88840.3,61436,94769.2,67587.1,58481,75740.7,457.38,66504.2,0.282
90147.2,63451,93109.4,49992.5,43926,74587,358.82,18769.7,0.283
102840,72000,93607,71686.1,64108,73282.9,447.37,30854.2,0.284
117733,78860,97841.2,91100.2,76753,77786.4,746.9,43132.3,0.284
87830.4,62347,92322.9,51135.1,46358,72289.4,504.35,38154.2,0.284
91649.3,62646,95877.3,76839.1,66922,75247.7,487.41,52117.9,0.285
67052.2,47744,92039.4,52699,46524,74234.4,480.48,48638.2,0.285
69694.7,43168,105808,64432.1,54316,77741.8,1032.57,46637.3,0.285
114056,81648,91549,83275.9,72920,74843.3,600.6,32043.6,0.285
76090.2,56751,87868.9,49679.3,43538,74780.2,525.14,50454.7,0.285
119224,78128,100008,77930.6,64168,79592,759.99,59212.1,0.285
81975.7,57791,92961.9,57463.9,49714,75752.4,439.67,36425.5,0.286
95225,61613,101288,94075.2,79181,77863.5,1047.97,34279.9,0.287
82641.3,53605,101035,67292.6,57829,76260.9,801.57,51095.5,0.287
95859.8,69694,90140.8,73668.2,67159,71887.9,726.88,59334.5,0.287
130196,88955,95919.4,80102.9,68118,77066.6,730.73,61063.2,0.287
70302.7,50554,91137.4,43352.6,38595,73614.7,431.97,21399.1,0.288
60452.5,40784,97141.4,63041.8,54912,75238.7,659.12,38905.9,0.289
106308,82390,84561.6,81139.7,70542,75381.6,4290.44,49232.2,0.289
71284.5,51345,90986.5,46607.8,40717,75017.5,343.42,17756.6,0.289
93017,64345,94738.7,46328.4,40788,74438,207.13,30600.7,0.289
76445.4,53977,92816,40624.6,31348,84929.5,378.07,19655.3,0.29
141252,93453,99056,84279.6,70745,78074,963.27,68699.5,0.291
97559.7,68491,93350.5,47686.3,41734,74883.1,150.92,42261.8,0.291
130741,96812,88504,77171,61317,82480.9,748.44,75733.2,0.292
76521.6,51284,97787.2,67122.7,58676,74970.3,574.42,46731.6,0.292
87258.9,55016,103944,70416.7,60097,76789.7,445.06,50557,0.292
110585,75090,96514.8,66016.8,56942,75980.4,321.86,18213.8,0.293
95543,66297,94446.3,46863.4,41156,74624.3,447.37,26985.6,0.294
72002.6,49176,95956.5,63501.1,56725,73364.7,187.88,34080.5,0.294
90339.8,52678,112391,76319.3,62522,79998.4,696.85,79419.6,0.295
124324,90421,90108.4,61118.6,53401,75007.4,102.41,18952.6,0.295
94351.4,73184,84491.3,98378.6,85036,75819,587.51,14770.1,0.295
77330.6,55800,90823.2,37569.6,33628,73217.6,392.7,38736,0.296
118009,71246,108551,89223.1,74519,78467.6,939.4,24076.1,0.296
76913.9,53856,93594.6,66501.4,59448,73311.7,538.23,12078.7,0.297
121756,86709,92024.7,61467.8,54585,73799.7,472.78,31356,0.299
95626.2,71038,88219.8,61022.9,55159,72503,496.65,20420.6,0.299
103531,77528,87516.8,52234.6,47404,72214.3,343.42,34974,0.299
62640,43512,94345.8,44496,37941,76858.5,207.9,28566,0.299
97653.8,71673,89292.2,67105.4,58948,74605.1,544.39,28766.2,0.299
112698,75400,97954.8,77127.1,65928,76668.5,590.59,35154,0.299
68659.2,50548,89017.4,71008.6,60700,76665.9,579.04,37273.7,0.3
103841,74152,91775,67402.1,57361,77008.1,503.58,63079.9,0.3
115834,81347,93319.6,64036.1,56235,74627.3,509.74,21782.2,0.3
69344,60340,75315.4,59718.2,54380,71969.4,2296.14,4981.68,0.301
61097.6,45620,87770.5,41209.2,35880,75270,115.5,27471.6,0.301
90938.9,66013,90281.8,58306.3,51229,74589.9,817.74,34069,0.302
83533.4,66076,82850.8,38784.2,35713,71172,198.66,13200.5,0.302
130136,87528,97438.7,83594.2,73601,74434.1,906.29,21340.8,0.302
74329,44848,108616,71328.2,58952,79294.5,659.89,57987.4,0.302
134792,93729,94247.3,60259,52681,74963.1,889.35,60343.9,0.302
80581.1,58052,90969.5,43229.5,38260,74048.4,525.91,31626.7,0.302
85895.7,56972,98807.5,49163,42508,75796.3,786.94,45816.5,0.302
81678.7,57200,93582.1,55105.2,48468,74510.5,340.34,28089.4,0.303
101628,76382,87196.7,35940.2,32653,72133.6,186.34,29154.2,0.303
85146.2,58277,95752.1,64332,55613,75810.7,483.56,50746.3,0.303
70781.4,49310,94072.9,57955,51123,74294.1,577.5,39378.2,0.304
95396.5,70523,88650.6,57564.7,51320,73510.6,279.51,11996.6,0.304
162607,105957,100575,75065,63973,76899,448.91,46280.2,0.305
99061.1,67795,95760.3,73126.8,61615,77780.4,666.05,21020.4,0.305
98582.4,69496,92965,63735.8,55208,75659.2,503.58,54370.8,0.305
111140,74699,97506.8,64899.4,56182,75704.8,415.8,23114.9,0.305
120897,81923,96714.3,91204.6,78319,76318.4,766.92,53195,0.306
104024,79168,86111.8,60384.2,54864,72130,468.93,22528.1,0.306
109803,70257,102425,74009.5,63253,76680.8,816.2,30661.9,0.306
89383.7,67592,86664.8,47911,42476,73921.6,308.77,22708.8,0.307
92382.7,63525,95307.3,63601.9,55585,74988.1,769.23,20796.5,0.307
103116,75191,89874.8,65750.4,58907,73149.5,539.77,29590.6,0.307
96309.8,74745,84443.9,37446.5,34452,71232.2,388.85,21102.5,0.308
86759.7,65652,86606.4,50546.9,44792,73956.1,531.3,55668.2,0.308
75924.5,55017,90440.9,51087.6,45204,74066,532.84,42418.1,0.308
103880,75569,90088,38161.4,33969,73624.4,348.04,22054.3,0.309
142334,95989,97177.9,66439.4,57165,76168.6,601.37,47416.3,0.309
73697.9,51191,94349.9,62605.4,55435,74013,528.99,37562.4,0.309
140002,90178,101745,108651,90046,79076.8,733.81,34112.2,0.309
73963.5,52927,91584.1,63655.2,53394,78130.6,656.81,36473,0.31
72953.6,53356,89607.3,55451.5,49292,73725.4,576.73,34992.7,0.311
107874,73408,96305.9,60359.8,52820,74890.9,308.77,19138.3,0.311
119313,88191,88663.4,81267.1,69634,76484.5,917.07,20911,0.311
124552,90049,90646.4,46824.5,39753,77193.9,605.22,31697.3,0.311
76739.8,64994,77379.8,69856.6,62346,73430.9,2373.91,4221.36,0.312
59271,39219,99043.5,46866.2,39871,77034.1,558.25,29520.7,0.312
140977,92095,100321,94751.3,80402,77232.2,659.89,54676.1,0.312
96679,67617,93703.6,78342.5,69545,73826.3,944.02,58060.8,0.313
70768.6,51040,90867.8,51853.7,47364,71748.2,332.64,36175,0.313
111752,74001,98968.4,75259.4,64857,76047.3,509.74,39034.8,0.313
93046.4,69907,87228.6,50339.5,45163,73047.7,455.84,42763,0.314
63157.1,38557,107349,54738.7,45421,78980.1,472.78,33322.3,0.314
89878.4,66890,88059.1,72946.1,62103,76978.5,364.21,33796.1,0.315
116300,79136,96312.7,108611,91068,78160.8,454.3,62636.4,0.315
82782.1,63609,85289.9,55351.4,47570,76256.3,476.63,22392.7,0.315
88780.8,60597,96016.9,53562.2,47017,74659.3,438.13,29689.9,0.315
103215,69469,97371.2,80390.9,66825,78840.2,801.57,47843.3,0.316
73249.3,52889,90764.9,46483.9,40452,75308.3,451.22,21286.1,0.316
76058.2,57368,86887.3,42052.3,38449,71677.8,455.07,12939.1,0.316
65083.5,44452,95953.2,58186.8,50920,74888.7,882.42,43368.5,0.316
73980.8,55354,87589.1,58811,51667,74597.7,413.49,16187,0.317
74162.6,52265,92993.7,46879.9,42436,72399,204.82,31855.7,0.317
66623.4,40337,108244,70344,55257,83429.5,726.11,21942.7,0.317
75843.8,54144,91801.5,38221.9,34668,72254.3,332.64,27902.2,0.317
83522.6,60621,90294.4,57847,51344,73836.5,224.07,12523,0.319
97226.9,64328,99052.7,70647.1,61585,75179.5,639.87,74148.5,0.32
110174,70434,102513,82710.7,69594,77887.9,960.96,51713.3,0.32
111950,81164,90394.3,59387.8,52149,74633,565.18,37063.4,0.32
110506,77334,93647,82735.9,72154,75147.3,488.95,28947.6,0.321
104083,68143,100101,80236.8,68466,76803.1,532.84,42613.9,0.321
101326,72637,91420.4,62317.4,55376,73751,602.91,15133.7,0.321
140014,93706,97922.9,98674.6,83971,77011.5,659.89,59601.6,0.321
96453.8,67115,94184.5,51346.1,44502,75615,612.92,43169.8,0.323
80825.6,56503,93747,58343,51124,74790.1,548.24,40915.4,0.323
104029,63554,107273,89764.6,75994,77411.5,960.96,48314.2,0.323
106286,75646,92081.1,52544.9,46266,74430.1,627.55,18688.3,0.324
114513,74889,100211,81678.2,66889,80026.1,378.07,37831,0.325
113172,84345,87934.4,45000.7,37796,78028.6,4222.68,54769.7,0.325
76311,53048,94275.4,43406.6,38476,73934.3,564.41,30094.6,0.325
118374,86350,89841.2,54807.8,48195,74528.2,356.51,18604.1,0.326
77987.2,52280,97761.5,88378.6,75861,76349.9,728.42,20798.6,0.327
106150,78025,89159.5,46399.7,41961,72468.5,589.05,17344.8,0.328
77263.4,55680,90939.9,56802.2,51592,72154.4,271.81,20305.4,0.329
111729,81929,89373.6,43673,38729,73902.2,397.32,29075.8,0.329
109016,73515,97183.6,73411.9,62566,76896.8,502.04,26975.5,0.33
123469,80300,100768,106439,89253,78155.2,1150.38,106445,0.331
72379.5,49076,96655.5,63218.9,54332,76255.5,462.77,57598.6,0.331
90467.2,64389,92078.7,52819.9,45545,76004.1,632.94,60765.1,0.332
132897,95400,91294.7,97901.3,83180,77134.6,783.86,49124.2,0.332
94525.4,64340,96282.5,50094,43340,75749,538.23,65808.7,0.333
111124,69297,105093,72019.4,59937,78747.1,293.37,52928.6,0.333
104910,64943,105868,100138,82802,79256.8,1088.78,62074.1,0.333
120829,69691,113626,109562,88950,80722.1,916.3,109547,0.333
88309.8,66920,86483.4,45515.5,39301,75899,575.96,34208.6,0.334
123802,75144,107972,92560.3,77125,78652,1202.74,120454,0.334
96569.6,58282,108589,69819.8,58279,78513.9,438.9,101474,0.334
85653.1,62312,90084.8,33947.3,29333,75845.3,357.28,16886.2,0.334
128644,78733,107081,62546.4,53024,77305.4,709.17,28962.7,0.334
128261,88941,94509,80440.6,70768,74493.5,541.31,17840.9,0.334
86367.4,54339,104164,77393.5,62159,81598.2,864.71,48595.7,0.335
79680.6,59619,87588.7,65527.2,56003,76681.4,528.22,20998.8,0.335
135108,94289,93907.8,80005.7,69681,75246.5,472.78,25346.2,0.337
128241,92064,91288.4,97871.8,83984,76373.2,653.73,8208.72,0.337
111903,74420,98544.2,61223.8,50740,79076.9,525.14,43652.2,0.338
93740.8,69043,88979.3,50811.8,44639,74598.6,397.32,21969.4,0.338
59429.8,43340,89865.9,56257.9,48449,76099,555.94,32122.8,0.339
130387,92292,92587.2,66623.8,58296,74898,629.09,48633.8,0.339
114320,80401,93183.9,81407.5,71777,74329.1,765.38,34971.1,0.339
80003.2,60692,86388.5,34462.8,31100,72622.3,432.74,25522.6,0.339
97689.6,68875,92953.7,68409.4,55990,80072.8,543.62,16581.6,0.34
156547,116589,87997,60724.1,53712,74091.7,596.75,27161.3,0.341
75167.4,48944,100649,78398.6,64060,80205,847.77,44917.9,0.341
85465,58724,95378.9,66218.4,57992,74832.5,384.23,27738.7,0.341
104506,79540,86106.6,53058.2,45992,75605,680.68,28345.7,0.341
89243.5,61865,94539.1,58999.7,51914,74480.9,581.35,46436.4,0.342
88585,62261,93244.6,47054.9,41581,74163.4,465.85,48070.8,0.342
97672.3,66884,95703.8,72452.2,63500,74775.2,474.32,49977.4,0.342
71617.3,49839,94173.4,57206.9,51234,73176.2,247.94,32944.3,0.342
90372.5,65501,90420.8,61459.9,54544,73845.7,479.71,39399.8,0.343
89326.7,67700,86471.4,43287.8,38392,73893.3,515.13,35899.9,0.343
70778.9,52824,87811.7,33459.8,29925,73277.3,163.24,14509.4,0.343
71329.9,62429,74879.9,71059,62989,73932.3,2942.94,12176.6,0.343
86785.3,63749,89218,49192.6,44861,71863.8,472.78,32078.2,0.344
79333.8,54208,95912.4,65596.3,56976,75451.4,660.66,66069.4,0.344
