"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","586_15 YG D-A","530_30 Blue C-A","Time"
124906,85439,95809.4,55752.5,48866,74771.7,418.88,12420.7,0.233
80519,57105,92406.9,41014.1,35933,74803.1,167.86,12092.4,0.233
94785.9,67296,92307,42030,37604,73249.6,51.59,16147.4,0.233
143882,90162,104584,79983.4,65758,79713.3,1148.07,30037,0.234
122175,80088,99975.5,67977.4,59813,74481.5,522.06,18622.1,0.234
146417,102545,93574.6,58503.6,50941,75265.3,642.18,20438.6,0.234
122326,84093,95332.4,58294.8,51053,74832.2,726.11,24069.6,0.235
88345,60983,94940.8,52806.2,44907,77063.9,492.8,37608.5,0.235
124374,90909,89661.1,49510.8,44489,72933.5,379.61,15863,0.235
111043,81627,89152.9,40740.5,36166,73825.4,415.8,19839.6,0.236
119321,73449,106466,89499.6,73549,79748.8,681.45,27490.3,0.236
126730,84675,98085,60149.5,52511,75069.2,425.04,27897.1,0.236
73918.1,50933,95111.1,56114.6,45433,80944,657.58,20488.3,0.236
98231,69353,92824.7,66534.5,59721,73012.9,404.25,26267.8,0.237
117471,76937,100064,66799.4,55684,78618.1,899.36,53599.7,0.237
83984,59973,91774.2,44961.8,40545,72675.3,487.41,13153.7,0.238
97936.6,75493,85019.5,36051.1,32329,73081.3,306.46,19026.7,0.238
105996,70858,98034.4,67448.2,56503,78230.9,882.42,45116.6,0.238
102557,76790,87526.5,46621.4,41458,73698.3,290.29,18727.9,0.238
130392,87490,97672.3,59844.2,52550,74632.8,457.38,29391.8,0.238
125201,75069,109302,96793.2,77529,81820.2,810.04,34467.1,0.239
140067,102312,89719.7,72278.6,64677,73238.6,713.02,39244.3,0.239
95810.6,69831,89917.7,102689,85231,78960.1,709.17,35316,0.239
116307,86612,88005.2,43698.2,39672,72187.1,333.41,29908.1,0.239
107050,72992,96115.3,57686.4,50736,74513.9,517.44,26380.8,0.239
110717,77980,93049.2,45293,40984,72426.4,252.56,27285.1,0.24
100453,68357,96307.6,83370.2,74265,73571,542.85,16732.8,0.24
101172,58928,112517,81943.2,66024,81337.5,700.7,37165.7,0.24
92546.6,63146,96049.3,54838.1,48679,73827.9,611.38,20605,0.24
87541.8,65696,87328.6,43740,40328,71080.8,241.01,9056.16,0.24
99031,70443,92132.6,52148.9,45350,75361.2,415.8,21818.9,0.24
134682,93659,94241.2,61395.1,54152,74301.8,470.47,25739.3,0.241
82078.1,57885,92926.8,40651.2,36176,73643.2,585.2,11142.7,0.242
134474,93977,93776.8,72056.9,63389,74497.5,556.71,23526.7,0.242
109192,71003,100784,65027.5,55430,76883.3,666.82,28556.6,0.242
74355.2,55115,88414.1,37301.8,33222,73584,267.96,28977.8,0.242
137619,79097,114025,84710.2,67117,82714.7,437.36,50695.2,0.242
93641.6,64265,95493.6,52243.2,45341,75512.5,281.05,26560.8,0.242
104580,68144,100577,75476.2,63452,77955.1,753.06,29074.3,0.243
115580,78652,96305.5,58484.2,50572,75789.3,377.3,11491.2,0.243
152660,108088,92561.2,55699.2,47653,76601.8,472.78,47071.4,0.243
129596,90981,93351.5,50693,44829,74108.7,279.51,18959,0.244
105109,73112,94217.5,48677.8,42785,74562.2,428.12,10726.6,0.244
99036.2,66823,97128.7,52051.7,46347,73602.6,487.41,46392.5,0.245
105021,70745,97288.6,54456.5,47092,75784.8,323.4,56707.9,0.245
100188,69802,94065.1,66229.9,55123,78741.1,669.13,22347.4,0.246
167604,122213,89876.6,66906.7,57977,75630,633.71,20030.4,0.246
97130.9,65667,96937.1,59690.9,53099,73671.8,553.63,30437.3,0.246
105281,72753,94837.5,67392.7,56717,77871.7,666.82,22455.4,0.246
96589.4,69803,90685,45621.4,39718,75276.7,467.39,16318.8,0.246
127240,83543,99814.7,84975.8,72047,77296.5,751.52,21277.4,0.247
122215,83729,95659.6,65584.8,55081,78033.5,339.57,28525.7,0.247
92518.4,64138,94535,53648.6,46147,76189.5,462.77,16335.4,0.247
153569,100868,99776.7,80534.2,69580,75853.5,525.14,27171.4,0.247
146202,105266,91021.5,63702.7,56030,74510.5,398.86,20525.8,0.248
99168,72780,89297.5,67176,55148,79829.7,637.56,21935.5,0.248
64559.4,45467,93055.7,40826.2,32598,82078.1,222.53,19397.5,0.249
75683.2,56747,87405,54750.2,48694,73686.9,528.99,21898.8,0.25
133298,88995,98160.7,71483.8,60559,77358.6,927.08,25456.3,0.25
80641.3,61375,86108.5,26873.3,24466,71984.3,235.62,6138,0.25
93783.7,63497,96795.2,70825,60228,77066.9,530.53,47245.7,0.25
79237.1,51710,100423,51632.6,40371,83817.5,251.02,16664.4,0.25
82902.4,56968,95370.9,54550.8,45944,77813,642.95,13793.8,0.25
144479,90277,104883,93031.2,80153,76065.7,653.73,15307.2,0.251
108402,70987,100078,64879.2,54486,78037,700.7,18121.7,0.251
72442.2,46787,101472,43229.5,37323,75907.4,364.98,16501.7,0.252
85294.1,61379,91070.8,51500.2,45376,74381.1,488.95,18962.6,0.252
106733,76935,90919.4,56459.5,48159,76831.6,748.44,21172.3,0.252
108665,62784,113428,71815,60780,77434.4,393.47,26545,0.253
105225,76434,90221.9,69156,61505,73688.4,535.92,26309.5,0.254
104309,72979,93670.8,52515.4,46479,74047.4,600.6,30571.2,0.254
135677,90425,98332.9,67286.9,57577,76588.1,448.14,28457.3,0.254
130916,89108,96284.3,91640.2,80312,74780,398.09,39206.9,0.255
94858.9,60507,102743,59793.8,48054,81546.8,413.49,23451.1,0.255
121105,73048,108651,93466.8,75877,80728.6,719.95,22320.7,0.255
71060.5,50644,91956,53437,46156,75874.1,381.15,26743,0.256
96250.2,67349,93659.2,55428.5,48201,75362.8,211.75,28329.1,0.256
88447.4,61791,93807.9,63964.1,55122,76048.6,438.13,19674.7,0.257
157117,96860,106306,73711.4,62385,77434.5,472.01,39316.3,0.258
92938.9,63229,96329.9,57834,50160,75562.4,399.63,17100,0.258
127809,86894,96394.6,77280.5,67735,74771.6,1251.25,28850.4,0.259
117036,78673,97492.6,75065,67253,73148.6,498.96,38914.6,0.259
124384,95464,85389.6,51053,46440,72045.9,746.13,34123.7,0.259
82030.7,53178,101094,55488.2,47326,76838.9,449.68,17707.7,0.259
101055,63476,104335,61657.2,51528,78418.9,648.34,48082.3,0.26
139145,92144,98964.7,90486,68880,86093.1,929.39,49047.1,0.26
70052.5,54550,84160.6,39638.2,34705,74851.7,327.25,19216.1,0.261
78299.5,54901,93467.1,48790.8,44085,72531.6,418.88,17548.6,0.261
139665,101740,89965.6,60300,54492,72521.1,395.01,41626.8,0.262
90788.5,58747,101280,93038.4,78278,77893.7,725.34,29274.5,0.262
86212.5,56090,100731,86117.8,72163,78209.2,477.4,23138.6,0.263
97433.6,65818,97016.1,49513,39011,83178.6,756.14,18541.4,0.263
90485.8,65741,90203.6,35451.4,32016,72568.1,378.84,18998.6,0.263
128095,87029,96460,70817.8,61277,75739.9,586.74,2626.56,0.264
93109.1,68544,89023.1,60251,52295,75506.5,567.49,13268.2,0.264
91479.7,60928,98398.3,75102.5,63608,77378.9,529.76,31665.6,0.265
91302.4,68422,87451.3,37674.7,33934,72760.4,271.81,10052.6,0.265
92070.4,58724,102751,66644.6,57840,75512.2,428.89,36049.7,0.265
98784,71633,90376.1,49000.3,43869,73201.7,297.22,13362.5,0.265
113528,91593,81231,35409.6,32493,71418.6,659.12,7340.4,0.266
149507,99936,98043.4,86361.1,73268,77247.4,675.29,22448.2,0.266
109933,68869,104613,54416.2,46537,76631.9,388.85,48838.3,0.266
101937,66313,100742,74503.4,63321,77109.6,736.12,23855.8,0.267
85325.4,52012,107512,78742.1,65749,78487,253.33,44480.2,0.267
88709.1,61576,94414.1,49619.5,44273,73450.3,360.36,24451.9,0.267
104147,76469,89256.4,54149.8,48529,73126.6,620.62,27635,0.267
143015,96062,97568.6,99840.2,88119,74253.3,679.14,19013,0.268
85245.4,59871,93311.4,51811.2,44562,76197.2,485.87,37251.4,0.269
83258.9,62118,87840.1,34730.6,31694,71815.1,373.45,14910.5,0.27
95876.5,69093,90940.6,52403.8,47113,72895.7,276.43,22546.1,0.27
100684,74725,88302.4,39062.2,35337,72444.7,228.69,15249.6,0.27
92410.9,66236,91434.2,105745,90981,76170.9,808.5,10846.1,0.27
114158,73265,102115,58775,50241,76668.1,428.89,32479.2,0.271
124843,90592,90313.8,63097.2,55740,74186.2,272.58,9246.96,0.272
83561,51177,107006,47702.2,41693,74981.6,648.34,27779,0.272
62294.4,45060,90602,44819.3,39980,73468.6,280.28,10613.5,0.272
91902.7,66927,89992.6,45144,40898,72339.9,399.63,13111.9,0.273
87914.2,66971,86030.5,40412.2,35750,74082.6,554.4,15297.1,0.274
96981.1,62000,102512,60739.9,52480,75850.8,336.49,30121.9,0.274
142146,95804,97236.8,85497.8,74552,75158.1,1030.26,31911.1,0.275
100804,66779,98928.1,53913.6,46262,76375.5,457.38,31498.6,0.276
110831,68089,106675,63859.7,54324,77039.8,606.76,28991.5,0.276
101233,59032,112386,100477,80081,82227.3,571.34,42379.2,0.276
148479,99750,97550.9,71596.1,62398,75196.7,582.89,28360.8,0.276
82457,59137,91379.3,48852,42765,74864.1,480.48,23441.8,0.276
140772,89897,102624,64082.9,53076,79126.8,922.46,7734.24,0.276
75528.3,53765,92064.1,55217.5,47389,76362.4,298.76,36887,0.276
159133,93737,111258,86387.8,69818,81089.5,780.01,36533.5,0.277
104415,72603,94251.8,54707.8,47894,74859.6,715.33,26506.1,0.277
100582,78797,83654.5,28069.2,25824,71233.9,108.57,8475.12,0.278
103726,68802,98802.3,50628.2,42310,78420.5,338.8,25558.6,0.278
99411.2,67974,95845.6,62534.9,51758,79181.7,378.07,25060.3,0.278
108139,67335,105250,100743,82868,79672.5,860.09,34336.1,0.278
95337,63224,98823.3,57268.8,48376,77583.3,224.84,44123.8,0.278
119423,87688,89253.8,58261.7,52492,72739.4,504.35,28513.4,0.279
82691.2,49005,110586,78357.6,66016,77787.9,340.34,36118.8,0.279
84807.7,61117,90939.6,41886.7,38301,71671.4,460.46,15241.7,0.279
97252.5,70996,89773.2,31486.3,28080,73486,437.36,25575.8,0.279
123747,76172,106468,75599.3,65621,75501.4,707.63,39754.8,0.279
137084,84839,105894,73076.4,61083,78403.7,291.83,53768.9,0.279
95975,63406,99199.1,47092.3,38937,79262.5,520.52,12893.8,0.28
88884.5,66312,87844.3,42750,38652,72484.3,237.93,10305.4,0.281
63577,45389,91797.1,56894.4,50560,73746.7,409.64,18099.4,0.281
95137.9,58569,106455,83503.4,68468,79927.6,1054.13,51409.4,0.282
110009,79907,90224.2,55825.9,50219,72853.1,703.78,26332.6,0.282
121646,85482,93261.7,82463,69271,78016.8,549.01,38330.6,0.283
103230,70270,96275.6,85430.9,69975,80011.4,435.82,31295.5,0.283
89978.2,58985,99971.4,69308.6,59556,76267.9,857.78,23727.6,0.284
70051.2,52556,87352.1,67872.2,57877,76853.9,601.37,27355,0.284
117172,82123,93506.3,44173.4,38790,74631.4,360.36,27218.2,0.284
102369,67604,99237.8,76059.4,65448,76161.6,622.93,20818.1,0.285
96999,68676,92564.1,52796.9,47020,73587.8,427.35,28553.8,0.286
146474,101901,94202.2,72025.2,59421,79437.3,592.13,36360.7,0.286
115097,81857,92148.4,64092.2,54669,76832.4,861.63,31479.8,0.286
91349.8,71181,84105.3,36077.8,33453,70678,77,11628,0.287
71969.3,43960,107293,52588.1,43320,79557.1,405.02,34614.7,0.287
101759,74641,89346.4,46893.6,41413,74209,-42.35,12973,0.287
144492,95045,99631.1,59330.2,49285,78893.4,798.49,42698.9,0.287
113908,77440,96398.6,77154.5,65800,76844.9,816.97,33237.4,0.288
108991,63404,112656,72844.6,60481,78932.9,695.31,29338.6,0.288
132833,96704,90020.3,62455,55356,73940.5,377.3,16158.2,0.288
104195,68489,99702.7,66180.2,55897,77592.5,494.34,29242.8,0.289
136271,91360,97752.6,71799.8,61380,76661.4,793.87,48711.6,0.289
121651,76814,103790,72066.2,56903,82999.7,510.51,20252.2,0.289
138994,100651,90501.9,64892.2,56927,74705.7,323.4,24755.8,0.289
127003,90166,92310.4,53922.2,47962,73680.2,611.38,16596,0.289
158463,109365,94957.8,69706.8,57965,78811.4,541.31,41785.2,0.29
105272,80273,85945.3,41853.6,37789,72585.1,401.94,11731,0.29
105916,70453,98523.5,88029.4,77133,74794.1,719.95,19076.4,0.291
92652.2,69628,87207,39644.6,33237,78170.5,296.45,16803.4,0.292
88259.8,63737,90751,44536.3,39897,73156.7,434.28,17693.3,0.292
112589,75556,97657.6,88573,77148,75241.3,829.29,28878.5,0.292
135210,98108,90319.8,62567.3,54721,74933,326.48,24399.4,0.292
85102.1,59818,93237,42282.7,38103,72725,556.71,7749.36,0.292
122121,83441,95915.9,56106,47637,77187.1,560.56,27625,0.293
111550,86934,84093.1,34380.7,31390,71780,391.93,17480.2,0.293
100302,64624,101718,75970.8,60956,81679,390.39,29455.9,0.293
109821,78668,91489,53834.4,48501,72742.7,472.78,34357,0.293
111241,82953,87884.6,44604,39540,73929.4,482.02,31896.7,0.294
152431,102994,96993.4,72635,63322,75174.7,964.81,26457.1,0.295
152673,94361,106035,82564.6,69021,78395.7,672.98,30444.5,0.295
80449.3,53388,98754.9,60593.8,52545,75574.7,586.74,27360,0.295
104076,70988,96082.3,54645.1,47857,74831.7,623.7,28663.9,0.295
91210.2,63344,94366.5,60012.7,54012,72817,726.88,16526.9,0.295
71765.8,50738,92696.6,55357.2,47710,76040.5,662.97,17371.4,0.296
87775.4,61952,92853.3,60924.2,53636,74441.3,696.08,13763.5,0.296
121307,85863,92589,42585.1,37863,73709.4,415.8,19703.5,0.297
139075,93368,97617.9,75711.6,64721,76665,565.18,14061.6,0.298
106405,71320,97775.7,73779.1,60901,79394.2,751.52,21209,0.298
94253.4,58865,104935,71755.9,59313,79284.4,721.49,31006.1,0.298
116784,77724,98471,65356.6,57116,74991.4,524.37,19026.7,0.299
151676,105795,93957.2,66814.6,57703,75884.4,592.13,25524.7,0.299
146110,100190,95573.1,69545.5,58035,78534.3,601.37,43400.2,0.299
119318,83801,93311.6,54702,49149,72940.5,332.64,17493.1,0.3
106748,81196,86159.5,41262.5,37121,72847.7,589.05,20732.4,0.3
87242.9,58279,98106.5,57392.6,49323,76258.2,423.5,19125.4,0.3
66623.4,48577,89882.6,52545.6,45837,75127.7,257.95,31334.4,0.301
68786.6,45458,99168.4,44532,37598,77622.5,295.68,18117.4,0.301
127220,79059,105459,76978.1,64735,77930.6,625.24,22327.9,0.301
131398,99384,86646.6,54722.9,48309,74237.1,638.33,29537.3,0.302
132316,86023,100804,72323.3,62308,76070.2,462.77,41821.9,0.302
97818.9,72364,88589,41923.4,37525,73217.7,392.7,21746.9,0.303
123475,85671,94454.7,55697,47739,76460.8,556.71,35251.9,0.303
101971,66970,99787.1,103478,87511,77493.8,814.66,39610.8,0.303
124186,90899,89535.3,49237.2,43903,73498.6,248.71,25022.2,0.303
131166,86274,99637.2,59046.5,49678,77895.1,670.67,32353.9,0.305
121145,76742,103455,90727.2,77489,76732.2,556.71,30131.3,0.306
108433,66729,106494,104419,87181,78494.5,556.71,26326.1,0.306
103898,82523,82510.7,55585.4,49494,73601.8,264.88,29689.2,0.306
81105.9,58176,91366.9,37099.4,32988,73704,244.86,8665.92,0.307
83465.6,55712,98183.5,70987.7,60632,76729.3,514.36,32017,0.307
86147.8,61725,91466.7,46022.4,40176,75072.8,75.46,22489.2,0.307
93865,68964,89199.2,41236.6,37228,72592.7,361.13,18449.3,0.308
125178,80244,102234,85240.1,71040,78635.9,536.69,27852.5,0.308
112022,77853,94299.5,57846.2,51168,74089.5,464.31,25703.3,0.308
93811.2,55934,109915,54539.3,46115,77508.1,833.91,22474.1,0.308
60099.2,42734,92166.9,53987.8,45399,77934.4,535.92,31785.8,0.308
88727.7,61732,94195.2,33848.6,30416,72932.2,31.57,12913.9,0.309
127834,95476,87747.1,61195.7,53516,74940.6,301.07,29085.8,0.309
106276,69665,99976.9,55916.6,47305,77466.5,306.46,20770.6,0.309
110671,79613,91102.7,48984.5,44000,72960.2,145.53,25190.6,0.31
106305,71367,97619.7,70840.1,60427,76829.5,644.49,39384.7,0.311
117988,76349,101278,71203,59072,78994.4,540.54,48796.6,0.311
87724.2,62961,91311.9,46036.8,41517,72670.7,528.99,11417,0.311
96368,65333,96667.4,86197.7,73625,76727.4,570.57,22448.2,0.311
108054,73785,95974.2,82102.3,67604,79590.8,723.03,13381.9,0.312
108477,75407,94276.9,71758.8,61666,76262.2,439.67,67937.8,0.312
101197,64346,103069,69061,57767,78348.9,339.57,34714.1,0.313
112961,75480,98079.4,84729.6,71084,78116.6,591.36,44765.3,0.315
107843,68747,102806,74134.1,60703,80036.4,698.39,27808.6,0.315
89280,52302,111871,90870.5,77091,77250.1,991.76,66805.2,0.315
82234.2,58289,92458.3,38124,34461,72502.1,409.64,23675.8,0.315
101557,64205,103662,85260.2,73517,76004.4,755.37,42405.1,0.315
85355.5,63025,88756.2,64761.8,57569,73724.3,662.97,18189.4,0.316
96380.8,65503,96429.4,42698.2,37730,74165.6,438.9,23931.4,0.316
111060,75134,96872.5,76942.1,64039,78740.7,748.44,47455.2,0.316
74925.4,51777,94835.8,59091.8,49981,77482.3,396.55,19554.5,0.316
120915,79141,100129,85411.4,73309,76355.2,946.33,12940.6,0.317
99859.8,62740,104310,54325.4,46216,77035.5,605.22,25421,0.317
68166.4,47636,93781,62609,53080,77301.2,581.35,33970.3,0.318
75685.8,45436,109168,67842.7,54296,81887.1,671.44,22998.2,0.318
105366,71472,96615.4,47579,41688,74797.1,373.45,21701.5,0.318
90446.7,61025,97132.6,72787,62481,76345.9,414.26,28561,0.318
86890.2,59156,96261.4,61588.1,54168,74513.3,296.45,20000.2,0.319
81845.8,57274,93652.3,39621.6,34871,74464.2,307.23,22497.1,0.32
129952,94043,90560,83165.8,68278,79825.9,548.24,40999,0.32
110718,84808,85558.2,36191.5,33388,71038.9,376.53,16577.3,0.32
118009,78644,98339.8,91023.8,77676,76797.7,695.31,42362.6,0.32
70190.7,48583,94683.7,86276.9,75060,75329.6,834.68,31202.6,0.321
81177,50844,104634,69699.6,57112,79980.3,572.88,30515,0.321
142452,97017,96228.2,72501.1,61897,76763.6,621.39,16110.7,0.321
91210.2,60596,98646,72809.3,63540,75096.5,522.06,19635.1,0.322
95020.8,64812,96082.3,98164.8,81208,79220.4,829.29,41227.2,0.322
90308.5,54853,107897,78621.8,66737,77207,708.4,46250.6,0.322
138500,92682,97934.1,97830.7,79543,80603.4,1088.01,23744.2,0.323
85330.6,58549,95513.6,66893.8,56961,76964.1,445.83,21795.1,0.323
114518,79664,94208.6,63701.3,56700,73628.3,601.37,20581.9,0.323
74897.9,51373,95546.5,48098.2,42304,74512.1,292.6,14981.8,0.323
83233.9,60224,90575.5,63481,55976,74322.7,415.8,18725,0.323
63214.7,41893,98891,55768.3,46345,78861.4,160.16,18606.2,0.324
159638,113584,92108.6,58818.2,52172,73884.7,496.65,23240.9,0.324
83848.3,60694,90537.5,53761.7,47002,74961.2,441.98,15439.7,0.325
97587.2,63964,99985.5,54940.3,45473,79180.4,197.89,22017.6,0.325
74602.9,50324,97153.9,64555.2,53804,78631.5,670.67,22651.9,0.325
104530,71719,95518.2,47160.7,39963,77339.7,491.26,20753.3,0.326
104110,70825,96335.5,58862.2,50980,75668.7,703.78,26897.8,0.326
91870.7,65656,91702.8,33603.8,30204,72912.9,359.59,19597,0.326
86445.4,59675,94935.7,101133,83894,79003,994.84,52465,0.326
78019.2,55542,92057.6,50885.3,45694,72981.5,363.44,26530.6,0.327
74601,55612,87913.5,36688.3,32748,73421.5,405.79,13853.5,0.327
118548,81037,95871.6,70953.1,59728,77852.7,391.93,36331.2,0.328
152193,99505,100238,94901,80241,77509.4,860.09,53233.9,0.328
99219.8,67067,96954.9,70944.5,60872,76380.2,365.75,16922.2,0.328
92736.6,65569,92690,55985.8,47981,76469.5,430.43,25094.9,0.328
78787.8,55772,92581.2,49139.3,42353,76036.9,793.87,21615.8,0.329
98690.6,73325,88207.1,53176.3,47225,73794.9,232.54,18429.1,0.329
103293,70995,95350.9,73823.8,63679,75976.6,301.07,24493,0.329
128476,89463,94115,61894.8,54719,74130.3,395.01,24431,0.329
118908,79748,97717.4,62797.7,55144,74632,755.37,34423.2,0.33
87022.1,59037,96601.8,57289.7,50528,74306.1,361.13,16047.4,0.33
88481.3,59741,97064.1,66843.4,56400,77671,373.45,43416.7,0.331
127130,88693,93937.6,68697.4,57177,78740.6,466.62,24940.1,0.331
165370,120925,89623,57581.3,49529,76190.7,360.36,30354.5,0.331
71805.4,51879,90708,55860.5,50639,72293.5,261.03,11054.2,0.332
115624,70405,107628,91832.4,74653,80617.4,956.34,25547.8,0.332
94842.2,67193,92503.4,68467.7,59508,75403.3,561.33,10018.8,0.332
86993.9,57645,98902.5,44417.5,37120,78419.9,1118.81,16042.3,0.332
118671,81196,95783.6,68646.2,61141,73580.7,422.73,26529.8,0.332
117908,82737,93395.3,53415.4,47377,73888.8,374.22,38784.2,0.333
91616,69537,86344.6,36330.5,33337,71420.8,147.84,18072,0.333
119884,81691,96175.7,57160.8,50230,74578.7,512.82,29515,0.333
72375.7,48235,98335.5,70456.3,60838,75897.1,341.11,21974.4,0.333
113496,84782,87732,40159.4,36871,71381,207.13,18657.4,0.334
104152,77992,87518.3,37821.6,34348,72163.6,160.93,12473.3,0.334
105833,81148,85471.8,48618,42481,75003.6,439.67,28027.4,0.335
116087,86662,87788,53166.2,47310,73648.3,287.98,31485.6,0.336
119494,71327,109792,95847.8,80258,78266.1,325.71,19476.7,0.336
92893.4,56853,107081,59363.3,50433,77140.6,554.4,11859.8,0.336
148156,94875,102341,64753.2,54392,78020,736.89,58123.4,0.336
99132.2,68945,94230.6,48009.6,42877,73381,287.98,11107.4,0.337
86248.3,58512,96601.9,66258,54824,79204.1,505.12,24025.7,0.337
96821.1,63733,99560.2,90087.1,78093,75601.5,496.65,15124.3,0.337
136337,91216,97954.3,72712.8,58652,81247.1,795.41,62799.1,0.337
72731.5,49814,95686.6,48334.3,42014,75394.8,224.07,23392.1,0.337
125128,81460,100668,77253.8,66632,75983.1,970.97,43779.6,0.338
103308,77935,86871.9,57971.5,51995,73069,411.18,21324.2,0.338
84131.8,59995,91902.1,70197.1,59558,77243,284.9,27486,0.338
132163,87547,98934.8,90348.5,72655,81495.8,656.04,40579.9,0.338
107385,67293,104581,72712.1,56272,84682.6,498.19,37730.2,0.339
100732,71541,92276.3,71551.4,61585,76141.9,593.67,44971.9,0.339
74175.4,50915,95475.9,45668.9,37995,78772.4,344.19,26429,0.34
68329.6,48838,91691.9,90074.2,79054,74671.8,431.97,16711.9,0.34
140089,90148,101842,86881.7,73908,77040.1,659.12,27523.4,0.341
101398,67809,97998.9,50916.2,44505,74976.9,481.25,28985.8,0.341
106568,75462,92550.7,72087.1,62657,75399.4,779.24,22368.2,0.341
132162,89180,97122.3,58518,51681,74205.9,612.15,31262.4,0.341
68984.3,45768,98779.9,49324.3,42700,75703,512.05,22105.4,0.342
130675,77084,111099,72796.3,60209,79237,546.7,32436.7,0.342
