sample	reads_with_incorrect_barcode	reads_with_no_err_in_barcode	reads_with_one_sub_in_barcode	reads_with_two_or_more_subs_in_barcode	reads_with_indels_in_barcode	total_accepted	fraction_accepted
Omi32_h_5_4	1055700	3246398	0	0	0	3246398	0.7546081005128196
Omi32_h_6_1	10676349	10297301	0	0	0	10297301	0.4909637092256236
Omi32_h_6_2	518222	1942220	0	0	0	1942220	0.7893784937828244
Omi32_h_6_3	5	9	0	0	0	9	0.6428571428571429
Omi32_h_6_4	5	9	0	0	0	9	0.6428571428571429
Omi32_h_7_1	11424693	12309048	0	0	0	12309048	0.5186307544183616
Omi32_h_7_2	15717	44641	0	0	0	44641	0.7396036979356506
Omi32_h_7_3	5	9	0	0	0	9	0.6428571428571429
Omi32_h_7_4	5	9	0	0	0	9	0.6428571428571429
Omi32_h_8_1	15670153	21819548	0	0	0	21819548	0.5820144577840192
Omi32_h_8_2	76438	155908	0	0	0	155908	0.6710165012524425
Omi32_h_8_3	5	9	0	0	0	9	0.6428571428571429
Omi32_h_8_4	5	9	0	0	0	9	0.6428571428571429
Omi32_h_9_1	13689067	13521275	0	0	0	13521275	0.4969167605464128
Omi32_h_9_2	51620	106609	0	0	0	106609	0.673763974998262
Omi32_h_9_3	5	9	0	0	0	9	0.6428571428571429
Omi32_h_9_4	5	9	0	0	0	9	0.6428571428571429
Omi32_h_F_1	28386510	2580947	0	0	0	2580947	0.0833438470585427
Omi32_h_F_2	16876715	7554525	0	0	0	7554525	0.309215782743733
Omi32_h_F_3	12089928	42210056	0	0	0	42210056	0.7773493266591017
Omi32_h_F_4	2662033	11435439	0	0	0	11435439	0.8111694777616867
