sample_id	construct	solute	replicate	concentration	concentration_float	bin	sample_name	P5	P7	col_i	row_i	cell count
1279	Omi32	PSR	h	5	3	2	Omi32_h_5_2	12	11	12	12	174582
1280	Omi32	PSR	h	5	3	3	Omi32_h_5_3	7	4	7	5	87809
1281	Omi32	PSR	h	5	3	4	Omi32_h_5_4	6	10	6	1	99960
1282	Omi32	PSR	h	6	4	1	Omi32_h_6_1	7	5	7	9	651054
1283	Omi32	PSR	h	6	4	2	Omi32_h_6_2	3	9	3	10	109530
18	Omi32	PSR	h	6	4	3	Omi32_h_6_3	1	1	1	1	0
19	Omi32	PSR	h	6	4	4	Omi32_h_6_4	1	1	1	1	0
1284	Omi32	PSR	h	7	5	1	Omi32_h_7_1	9	11	9	10	1301480
1285	Omi32	PSR	h	7	5	2	Omi32_h_7_2	8	12	8	2	24862
20	Omi32	PSR	h	7	5	3	Omi32_h_7_3	1	1	1	1	0
21	Omi32	PSR	h	7	5	4	Omi32_h_7_4	1	1	1	1	0
1286	Omi32	PSR	h	8	6	1	Omi32_h_8_1	4	5	4	12	1136756
1287	Omi32	PSR	h	8	6	2	Omi32_h_8_2	4	8	4	10	16555
22	Omi32	PSR	h	8	6	3	Omi32_h_8_3	1	1	1	1	0
23	Omi32	PSR	h	8	6	4	Omi32_h_8_4	1	1	1	1	0
1288	Omi32	PSR	h	9	14	1	Omi32_h_9_1	10	10	10	3	1800259
1289	Omi32	PSR	h	9	14	2	Omi32_h_9_2	9	 	9	1	5322
24	Omi32	PSR	h	9	14	3	Omi32_h_9_3	1	1	1	1	0
25	Omi32	PSR	h	9	14	4	Omi32_h_9_4	1	1	1	1	0
1290	Omi32	PSR	h	F	NaN	1	Omi32_h_F_1	8	1	8	5	1191657
1291	Omi32	PSR	h	F	NaN	2	Omi32_h_F_2	7	2	7	12	1117176
1292	Omi32	PSR	h	F	NaN	3	Omi32_h_F_3	1	6	1	7	2501888
1293	Omi32	PSR	h	F	NaN	4	Omi32_h_F_4	2	10	2	4	2040065
